adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/kdbLf3aTQsEXqYlH9vA4fzmnSFz.jpg,,68000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",,228150,tt2713180,en,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",96.852,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 11029, 'logo_path': '/aEqqnFZjCW10ODE4TYQ1qkjvokr.png', 'name': 'QED International', 'origin_country': 'US'}, {'id': 34034, 'logo_path': None, 'name': 'LStar Capital', 'origin_country': 'US'}, {'id': 47169, 'logo_path': None, 'name': 'Le Grisbi Productions', 'origin_country': 'US'}, {'id': 16312, 'logo_path': None, 'name': 'Crave Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-15,211817906,135,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,War never ends quietly.,Fury,False,7.526,11446
False,/5z75Q6nqgwgYfpMB9fVHQcw9gMz.jpg,,125000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",,86834,tt1959490,en,Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,95.729,/trtD17IqSWV9Nbn4OILztc9GuCX.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/7cxRWzi4LsVm4Utfpr1hfARNurT.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 7503, 'logo_path': '/3K8wbNkTn7O4wX89ucnp1ZYR1XF.png', 'name': 'Protozoa Pictures', 'origin_country': 'US'}, {'id': 10256, 'logo_path': None, 'name': 'Disruption Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-03-07,362600000,138,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The end of the world is just the beginning.,Noah,False,5.662,6014
False,/6hgItrYQEG33y0I7yP2SRl2ei4w.jpg,"{'id': 702624, 'name': 'After Collection', 'poster_path': '/250ewaLutOJXqBBqMKxCHD1KpCL.jpg', 'backdrop_path': '/zZTy8G3sEVZNv0yGssgc7DvPUQJ.jpg'}",14000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,613504,tt10362466,en,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,66.848,/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg,"[{'id': 6626, 'logo_path': '/A1BnMoWjzjOrjzpWimyBQkf84mS.png', 'name': 'Voltage Pictures', 'origin_country': 'US'}, {'id': 2378, 'logo_path': '/5xDJwLbyyt8IXuRAsR7kVibLDYF.png', 'name': 'Offspring Entertainment', 'origin_country': 'US'}, {'id': 140519, 'logo_path': None, 'name': 'Frayed Pages Entertainment', 'origin_country': ''}, {'id': 107108, 'logo_path': '/5mxc7uNtFOZm2ly0BxixxGPvPlb.png', 'name': 'Wattpad', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-09-02,48000000,105,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Can love overcome the past?,After We Collided,False,7.193,5176
False,/fey7NzJ61KAAVPfUgcpaahW5gZ5.jpg,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10770, 'name': 'TV Movie'}]",,16237,tt0816671,en,Teen Titans: Trouble in Tokyo,"America's coolest heroes Teen Titans head to Japan as they spring into action when a new threat, the dichromatic ninja Saico-Tek, appears in their city. A chase across the city ensues, ending at Titans Tower. Saico-Tek is interrogated by Robin with the aid of a translation program, and reveals the identity of the one who sent him. The ninja then escapes his bonds and vanishes after destroying a fire sprinkler, and the Titans' only lead is to search for his mysterious master - the shadowy figure known as Brushogun.",64.74,/4wMlDE1HzkVyYeDKuY1oDOWQlN2.jpg,"[{'id': 429, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Comics', 'origin_country': 'US'}, {'id': 2785, 'logo_path': '/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png', 'name': 'Warner Bros. Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-09-15,0,75,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Titans go ninja on the notorious villain Brushogun in their awesome first feature-length movie.,Teen Titans: Trouble in Tokyo,False,7.789,368
False,/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,,50000000,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",http://www.thirteenhoursmovie.com/,300671,tt4172430,en,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,59.933,/nAnfWdvUXQemns5BR0Azi4z9o1t.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 787, 'logo_path': '/cCefBs1t7jxtiz3eCxBp9yxrxGx.png', 'name': '3 Arts Entertainment', 'origin_country': 'US'}, {'id': 6734, 'logo_path': None, 'name': 'Bay Films', 'origin_country': 'US'}, {'id': 19108, 'logo_path': '/jWhpxFZd02PbcFtUSiCraifRZTC.png', 'name': 'Latina Pictures', 'origin_country': 'MT'}, {'id': 19477, 'logo_path': None, 'name': 'Dune Films', 'origin_country': 'MA'}]","[{'iso_3166_1': 'MT', 'name': 'Malta'}, {'iso_3166_1': 'MA', 'name': 'Morocco'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-01-14,69411370,144,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,False,7.3,3363
False,/m4F1KRK5jAoQHi2mKDFE2jFKEIb.jpg,"{'id': 115575, 'name': 'Star Trek: Alternate Reality Collection', 'poster_path': '/w2IVqa43Ge49mrY3qSaJWpyDtz6.jpg', 'backdrop_path': '/gWl5pN2FplE709aVtA4lakwsE6t.jpg'}",185000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.paramountmovies.com/movies/star-trek-beyond,188927,tt2660888,en,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",54.323,/yOnd3XQIg7JBmu0UuBjZyLdsxQD.jpg,"[{'id': 82819, 'logo_path': '/gXfFl9pRPaoaq14jybEn1pHeldr.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}, {'id': 34530, 'logo_path': None, 'name': 'Perfect Storm Entertainment', 'origin_country': 'US'}, {'id': 83644, 'logo_path': None, 'name': 'Sneaky Shark', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-07-07,343500000,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The final frontier...and beyond.,Star Trek Beyond,False,6.784,6406
False,/5A1ObQ0fGNHVWivBdlJyO586BTK.jpg,,85000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.fox.co.uk/jumper,8247,tt0489099,en,Jumper,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",47.156,/3pPZ9JhNz3VMmASVir5SMHvTDUU.jpg,"[{'id': 444, 'logo_path': None, 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 7384, 'logo_path': None, 'name': 'Hypnotic', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/wRn5HnYMGeJHmItRypgOZOC6gwY.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-02-13,222231186,88,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Anywhere is possible.,Jumper,False,6.142,5527
False,/z8TvnEVRenMSTemxYZwLGqFofgF.jpg,,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",https://www.monsterhunter.movie,458576,tt6475714,en,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",45.838,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,"[{'id': 7220, 'logo_path': '/dD0x5awPmtx4sAr2pNvkmxkCODh.png', 'name': 'Capcom', 'origin_country': 'JP'}, {'id': 47, 'logo_path': '/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png', 'name': 'Constantin Film', 'origin_country': 'DE'}, {'id': 248, 'logo_path': None, 'name': 'Impact Pictures', 'origin_country': 'GB'}, {'id': 81620, 'logo_path': '/gNp4dfuBOXmVWdGKb63NfbFNbFi.png', 'name': 'Tencent Pictures', 'origin_country': 'CN'}, {'id': 882, 'logo_path': '/iDw9Xxok1d9WAM2zFicI8p3khTH.png', 'name': 'TOHO', 'origin_country': 'JP'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2020-12-03,42145959,104,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Behind our world, there is another.",Monster Hunter,False,6.608,3159
False,/izNpxVcjKbF9BiYF4GVqxCOfewL.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",http://www.netflix.com/title/81128745,641662,tt11161474,en,Pieces of a Woman,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",40.693,/OgUfLlhfBFx5BPK6LzBWFvBW1w.jpg,"[{'id': 13240, 'logo_path': '/aTc07YaNHo8WNgkQSnvLmG6w4nW.png', 'name': 'Bron Studios', 'origin_country': 'CA'}, {'id': 126587, 'logo_path': None, 'name': 'Little Lamb Productions', 'origin_country': 'US'}, {'id': 17173, 'logo_path': None, 'name': 'Proton Cinema', 'origin_country': 'HU'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'HU', 'name': 'Hungary'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-12-30,0,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Pieces of a Woman,False,7.031,1165
False,/9Ebn8atCcGk5OZrx4xmoTobAxoh.jpg,,85000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",http://www.sonypictures.com/movies/theholiday/,1581,tt0457939,en,The Holiday,"Two women, one from the United States and one from the United Kingdom, swap homes at Christmas time after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",38.058,/6fbqG49Q7IWBWdyJ7asNTcNbnG6.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 7295, 'logo_path': '/62E1B91PxZw8q4KNkge5Qemo7EM.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 735, 'logo_path': None, 'name': 'Waverly Films', 'origin_country': 'US'}, {'id': 20475, 'logo_path': None, 'name': 'GH One', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-12-08,194168700,136,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It's Christmas Eve and we are going to go celebrate being young and being alive.,The Holiday,False,7.089,4824
False,/aHYUj0hICtWZ5tPiCIm6pWUcjYK.jpg,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}]",http://www.shadowinthecloudfilm.com,675327,tt9691136,en,Shadow in the Cloud,A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,30.009,/t7EUMSlfUN3jUSZUJOLURAzJzZs.jpg,"[{'id': 17761, 'logo_path': '/fvvFNvMUsRGTP1MUqWQKHMMc8a1.png', 'name': 'Four Knights Film', 'origin_country': 'NZ'}, {'id': 37504, 'logo_path': '/k4A2f5FeH96xamI0ZuXlEQAerog.png', 'name': 'Rhea Films', 'origin_country': 'US'}, {'id': 7625, 'logo_path': '/kzq4ibnNeZrp00zpBWv3st1QCOh.png', 'name': 'Automatik Entertainment', 'origin_country': 'US'}, {'id': 100640, 'logo_path': '/5BR67T28TVm2UMH8GCRDftafsaJ.png', 'name': 'Endeavor Content', 'origin_country': 'US'}, {'id': 147591, 'logo_path': '/uMVoIH3rug7F3BsU1FGVJos4yrR.png', 'name': 'Hercules Film Fund', 'origin_country': 'LU'}, {'id': 294, 'logo_path': '/3XuHM8TXG0gDdPM3xJI14gkZbQy.png', 'name': 'New Zealand Film Commission', 'origin_country': 'NZ'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-12-31,1054290,83,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every mission has its demons.,Shadow in the Cloud,False,5.82,910
False,/vee4TWQX9MPywfU2QifDhKd7Wpl.jpg,,20000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.lockoutfilm.com/,81796,tt1592525,en,Lockout,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.",26.91,/i5QfNIcg6hc327IWUerea0EczP4.jpg,"[{'id': 6896, 'logo_path': '/2Q89KvzxTKB5BAv9RqFIPI1qb7E.png', 'name': 'EuropaCorp', 'origin_country': 'FR'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 10611, 'logo_path': '/zQ4fGaEnNkWfSzyygXRcUZwPmDG.png', 'name': 'Ciné+', 'origin_country': 'FR'}, {'id': 174233, 'logo_path': None, 'name': 'Digital Factory', 'origin_country': 'FR'}, {'id': 7263, 'logo_path': '/auaadhBBcvvTDtmW2iJzOrEjfgO.png', 'name': 'FilmDistrict', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-04-12,32948113,95,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Take no prisoners.,Lockout,False,5.908,1747
False,/sGIfwDYvfU0h1G7pGWEhdEi9hT2.jpg,"{'id': 989391, 'name': 'The Dry Collection', 'poster_path': '/rfq79sZW2dYw9zY1SGrOqxIG29z.jpg', 'backdrop_path': '/2vEJxFKTIxSKt9psv6RXpxgSO5y.jpg'}",0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",https://roadshow.com.au/titles/movies/roadshow/2021/the-dry,567797,tt5144174,en,The Dry,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,22.903,/zM12bfL2TEqVRXjiQIFUWUMLcCg.jpg,"[{'id': 100610, 'logo_path': None, 'name': 'Made Up Stories', 'origin_country': 'US'}, {'id': 15829, 'logo_path': None, 'name': 'Pacific Standard', 'origin_country': 'US'}, {'id': 7584, 'logo_path': '/eGkfvvyf4fJTvBUR1xt1669IPA3.png', 'name': 'Screen Australia', 'origin_country': 'AU'}, {'id': 11840, 'logo_path': '/8oyCRYf6ezxB5h8HJIPVG8JjzgL.png', 'name': 'Film Victoria', 'origin_country': 'AU'}, {'id': 15780, 'logo_path': '/bdQFj7E5yNsir5pMgacux2SoLGQ.png', 'name': 'Arenamedia', 'origin_country': 'AU'}, {'id': 154858, 'logo_path': None, 'name': 'Pick Up Truck Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-01-01,17424378,117,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Where the truth lies.,The Dry,False,6.775,566
False,/494bVeWKJ3DlCRHQu7kaPyskou9.jpg,,17800000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",https://timelessfilms.co.uk/programme/dragon-rider,523366,tt7080422,en,Dragon Rider,"An unlikely trio of heroes – a dragon, a boy and a forest brownie – embark on an epic adventure to find the “Rim of Heaven” - the mythological safe haven for all dragons.",22.029,/ucDrOXUrVnr9X3ZmXP2Q68HDIHr.jpg,"[{'id': 143396, 'logo_path': None, 'name': 'Able & Baker', 'origin_country': 'ES'}, {'id': 47, 'logo_path': '/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png', 'name': 'Constantin Film', 'origin_country': 'DE'}, {'id': 111372, 'logo_path': '/AcGUKknJRR0oACxehbXFnCBg2fX.png', 'name': 'Cyborn', 'origin_country': 'BE'}, {'id': 143397, 'logo_path': None, 'name': 'Lumatic', 'origin_country': 'DE'}, {'id': 100870, 'logo_path': None, 'name': 'RISE PICTURES', 'origin_country': 'DE'}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",2020-10-15,7000000,100,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,We are flying carbon neutral.,Dragon Rider,False,7.1,148
False,/kcWYiBWej3JdYbGEVaKYAQGfqYp.jpg,"{'id': 271668, 'name': 'Caballeros Collection', 'poster_path': '/5okSVBM4VfK5mCR6tUa09CuDlVG.jpg', 'backdrop_path': '/ptA8wrrVoIq8pSZMIOZnNURrFrF.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",http://movies.disney.com/the-three-caballeros,15947,tt0038166,en,The Three Caballeros,"For Donald's birthday he receives a box with three gifts inside. The gifts, a movie projector, a pop-up book, and a pinata, each take Donald on wild adventures through Mexico and South America.",21.476,/nMfScRxw9wVLoO7LiEjziFAKLSK.jpg,"[{'id': 3166, 'logo_path': '/vyyv4Gy9nPqAZKElPm2izLlEaVS.png', 'name': 'Walt Disney Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1944-12-21,0,71,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Three Caballeros,False,6.303,670
